Cluster Index	Value	x	y	z	
1	18.6	97	28	74
1	18.6	58	8	52
1	18.6	159	150	160
1	18.6	130	181	151
1	18.6	77	190	177
1	18.5	82	144	82
1	18.5	71	26	57
1	18.5	108	168	181
1	18.5	192	92	45
1	18.5	86	102	189
1	18.5	115	188	49
1	18.5	121	128	173
1	18.5	183	45	19
1	18.5	10	55	71
1	18.5	59	130	116
1	18.5	83	142	31
1	18.5	98	119	163
1	18.5	158	12	118
1	18.5	168	110	60
1	18.5	179	189	36
1	18.5	110	193	171
1	18.5	24	192	131
1	18.5	157	57	7
1	18.5	170	86	120
1	18.5	142	36	135
1	18.5	172	51	35
1	18.5	154	167	159
1	18.5	57	153	14
1	18.5	154	182	104
1	18.4	53	21	130
1	18.4	183	93	57
1	18.4	28	37	190
1	18.4	101	39	65
1	18.4	83	159	44
1	18.4	190	95	78
1	18.4	132	107	170
1	18.4	49	112	102
1	18.4	32	18	90
1	18.4	182	135	39
1	18.4	20	123	54
1	18.4	106	121	38
1	18.4	170	54	63
1	18.4	186	189	192
1	18.4	49	59	185
1	18.4	6	70	89
1	18.4	51	157	38
1	18.4	73	16	149
1	18.4	93	113	149
1	18.4	145	165	83
1	18.3	186	23	91
1	18.3	46	153	42
1	18.3	70	75	52
1	18.3	12	107	113
1	18.3	68	97	113
1	18.3	36	90	14
1	18.3	115	122	54
1	18.3	130	17	179
1	18.3	99	33	139
1	18.3	58	178	118
1	18.3	79	14	47
1	18.3	21	11	154
1	18.3	24	124	113
1	18.3	159	158	88
1	18.3	121	131	163
1	18.3	91	114	146
1	18.3	112	150	158
1	18.3	178	3	91
1	18.3	156	39	48
1	18.3	49	95	75
1	18.3	95	156	47
1	18.3	76	11	148
1	18.3	33	122	148
1	18.3	56	139	3
1	18.3	33	139	68
1	18.3	192	14	5
1	18.3	25	15	41
1	18.3	10	153	135
1	18.3	129	83	57
1	18.3	135	173	91
1	18.3	57	174	113
1	18.3	164	175	136
1	18.2	128	64	79
1	18.2	91	149	51
1	18.2	25	180	97
1	18.2	71	136	21
1	18.2	44	139	7
1	18.2	160	94	29
1	18.2	41	55	65
1	18.2	149	114	105
1	18.2	98	77	44
1	18.2	38	187	14
1	18.2	25	161	12
1	18.2	87	36	137
1	18.2	58	66	160
1	18.2	60	178	61
1	18.2	13	116	138
1	18.2	20	66	63
1	18.2	113	78	104
1	18.2	32	31	181
1	18.2	16	79	6
1	18.2	93	192	36
1	18.2	142	24	140
1	18.2	184	193	20
1	18.1	107	127	68
1	18.1	41	187	187
1	18.1	83	91	13
1	18.1	90	193	34
1	18.1	169	57	163
1	18.1	100	32	117
1	18.1	59	15	95
1	18.1	157	33	26
1	18.1	68	105	23
1	18.1	7	24	122
1	18.1	90	34	128
1	18.1	154	170	116
1	18.1	133	52	163
1	18.1	57	139	152
1	18.1	84	110	96
1	18.1	56	193	3
